frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
3290,0,112.269,0.98,0.563199,0.431613,-0.7046399999999999,0.421144,0.455459,-0.784343,0.584,0.537,-571.1,-557.7,1239.3,0.502,-0.557,0.243,0.09,0.0,0.03,0.01,0.21,0.19,0.0,0.16,0.55,0.41,0.22,0.61,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.0
3347,0,114.214,0.88,-0.429783,0.438611,-0.789245,-0.38341,0.456982,-0.802599,-0.472,0.512,-59.3,-114.8,627.2,0.428,0.75,-0.152,0.79,0.0,0.14,0.0,0.27,0.12,0.0,1.22,0.18,0.23,0.63,0.91,0.43,0.63,1.55,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,1.9449999999999932
3348,0,114.249,0.88,0.428949,0.4173310000000001,-0.801148,0.47444,0.415144,-0.7762479999999999,0.52,0.486,-13.3,-95.4,622.8,0.35700000000000004,-0.648,0.032,1.08,0.0,0.29,0.0,0.46,0.26,0.0,1.84,0.18,0.23,0.94,1.04,0.85,1.1,2.45,0.61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,1.9799999999999898
3349,0,114.283,0.88,0.420171,0.41432,-0.807338,0.473082,0.414761,-0.777281,0.513,0.482,-13.2,-95.4,623.8,0.353,-0.649,0.029,1.09,0.0,0.47,0.14,0.58,0.36,0.0,1.58,0.15,0.33,0.57,0.53,0.85,1.24,2.12,0.61,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.013999999999996
3350,0,114.317,0.88,-0.318888,0.408588,-0.8551989999999999,-0.47223,0.434839,-0.766756,-0.454,0.48,-42.5,-76.1,744.5,0.426,0.631,-0.198,0.91,0.0,0.47,0.14,0.73,0.24,0.0,1.16,0.24,0.61,0.33,0.63,0.42,0.75,1.9,0.25,0.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.0479999999999876
3353,0,114.419,0.88,-0.306171,0.369001,-0.877552,-0.516375,0.287912,-0.806513,-0.454,0.3720000000000001,-17.0,-60.3,769.6,0.3670000000000001,0.6829999999999999,-0.199,0.38,0.0,0.5,0.0,0.7,0.27,0.0,1.05,0.54,1.29,0.0,0.64,0.0,0.79,2.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.1499999999999915
3354,0,114.453,0.88,-0.301325,0.357486,-0.883972,-0.498403,0.304145,-0.811844,-0.441,0.3720000000000001,-16.7,-59.0,763.7,0.373,0.6990000000000001,-0.226,0.47,0.0,0.58,0.09,0.31,0.0,0.0,1.29,0.48,1.44,0.0,0.35,0.0,1.15,2.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.1839999999999975
3355,0,114.487,0.88,-0.332536,0.184505,-0.924866,-0.504286,0.312347,-0.8050689999999999,-0.451,0.28,-11.5,-60.3,771.0,0.35700000000000004,0.669,-0.239,0.31,0.0,0.72,0.09,0.45,0.36,0.03,1.35,0.72,1.48,0.0,0.39,0.03,1.43,1.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.2179999999999893
3356,0,114.522,0.88,-0.339876,0.37014,-0.8645700000000001,-0.453914,0.264656,-0.850834,-0.433,0.354,4.9,-81.1,835.4,0.371,0.6859999999999999,-0.192,0.11,0.0,0.7,0.09,0.46,0.36,0.09,1.53,1.0,1.7,0.0,0.72,0.03,1.84,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.253
3357,0,114.556,0.88,-0.31074,0.24106,-0.919419,-0.5185489999999999,0.275275,-0.809525,-0.447,0.29,9.6,-87.5,849.0,0.298,0.6629999999999999,-0.197,0.01,0.0,0.68,0.04,0.54,0.36,0.09,1.72,1.25,1.9,0.0,1.01,0.03,2.42,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.286999999999992
3358,0,114.59,0.88,-0.356008,0.253092,-0.8995569999999999,-0.450421,0.275198,-0.8493450000000001,-0.4320000000000001,0.293,14.7,-95.7,867.9,0.242,0.644,-0.192,0.0,0.0,0.33,0.04,0.29,0.0,0.08,1.62,1.18,2.03,0.0,1.23,0.15,2.7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.320999999999998
3359,0,114.624,0.88,-0.367993,0.242649,-0.89761,-0.457607,0.266737,-0.848202,-0.442,0.284,19.2,-101.9,883.0,0.224,0.6559999999999999,-0.184,0.0,0.0,0.17,0.04,0.34,0.0,0.02,1.45,1.12,1.94,0.0,1.16,0.15,2.62,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.3549999999999898
3360,0,114.658,0.88,-0.383146,0.252372,-0.888542,-0.47175,0.27723000000000003,-0.837015,-0.46,0.298,22.6,-105.7,894.4,0.238,0.6809999999999999,-0.188,0.0,0.0,0.1,0.0,0.33,0.0,0.02,1.48,1.07,1.91,0.0,0.85,0.24,2.32,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.388999999999996
3361,0,114.692,0.82,-0.396339,0.261554,-0.880059,-0.481949,0.28646900000000003,-0.828046,-0.475,0.31,24.7,-108.4,910.8,0.256,0.698,-0.194,0.0,0.0,0.21,0.0,0.34,0.0,0.05,1.45,1.05,1.76,0.0,0.71,0.15,2.04,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.4229999999999876
3362,0,114.726,0.88,-0.396606,0.254805,-0.8819170000000001,-0.477528,0.281246,-0.8323870000000001,-0.472,0.303,25.3,-110.2,935.2,0.248,0.682,-0.195,0.0,0.0,0.31,0.0,0.28,0.0,0.09,1.47,1.06,1.68,0.0,0.56,0.24,1.87,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.4569999999999936
3363,0,114.761,0.88,-0.397326,0.244321,-0.8845559999999999,-0.474238,0.272158,-0.837274,-0.469,0.29100000000000004,25.4,-110.6,938.3,0.237,0.6759999999999999,-0.194,0.0,0.0,0.35,0.0,0.26,0.0,0.12,1.37,1.06,1.58,0.0,0.85,0.3,1.85,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.4919999999999902
3364,0,114.795,0.88,-0.388298,0.267221,-0.88194,-0.465487,0.29332,-0.8350360000000001,-0.461,0.316,23.3,-110.1,946.8,0.257,0.654,-0.195,0.0,0.0,0.36,0.0,0.17,0.0,0.07,1.33,0.97,1.6,0.0,0.95,0.25,1.89,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.5259999999999962
3365,0,114.829,0.88,-0.385283,0.27211,-0.881767,-0.453828,0.297743,-0.839875,-0.454,0.32,20.2,-109.5,955.7,0.276,0.637,-0.191,0.0,0.0,0.39,0.0,0.1,0.0,0.06,1.25,0.94,1.45,0.0,1.1,0.29,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.559999999999988
3366,0,114.863,0.88,-0.377483,0.276413,-0.8838,-0.447251,0.301325,-0.8421219999999999,-0.446,0.32299999999999995,15.6,-106.5,953.9,0.282,0.631,-0.199,0.0,0.0,0.41,0.0,0.02,0.0,0.05,1.15,0.88,1.48,0.0,1.07,0.2,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.593999999999994
3367,0,114.897,0.88,-0.37946,0.281215,-0.8814360000000001,-0.44885,0.306343,-0.839457,-0.449,0.329,15.0,-106.8,958.2,0.292,0.634,-0.207,0.0,0.0,0.31,0.0,0.09,0.25,0.05,1.14,0.78,1.18,0.0,1.08,0.66,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.628
3368,0,114.931,0.82,-0.375733,0.277962,-0.8840600000000001,-0.450021,0.295974,-0.8425440000000001,-0.446,0.321,8.8,-99.4,933.4,0.305,0.6679999999999999,-0.198,0.0,0.0,0.21,0.0,0.14,0.38,0.02,1.13,0.61,1.01,0.0,1.07,0.99,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.661999999999992
3369,0,114.965,0.82,-0.412958,0.287795,-0.864083,-0.471285,0.300482,-0.829217,-0.481,0.334,3.7,-93.9,914.2,0.324,0.741,-0.188,0.12,0.0,0.35,0.0,0.22,0.45,0.04,1.24,0.69,0.84,0.0,1.08,1.09,1.34,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.695999999999998
3370,0,114.999,0.88,-0.323455,0.26029800000000003,-0.909737,-0.433007,0.280095,-0.856768,-0.405,0.297,-14.0,-85.7,934.3,0.274,0.649,-0.226,0.31,0.0,0.41,0.0,0.19,0.47,0.04,1.36,0.74,0.9,0.0,1.01,0.89,1.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.7299999999999898
3371,0,115.034,0.88,-0.332913,0.247583,-0.909874,-0.432888,0.26818600000000004,-0.8606299999999999,-0.408,0.28300000000000003,-19.4,-80.2,914.0,0.271,0.662,-0.226,0.46,0.0,0.47,0.0,0.27,0.62,0.04,1.58,0.92,1.04,0.0,0.99,0.47,1.53,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.7650000000000006
3372,0,115.068,0.88,-0.33210700000000004,0.265416,-0.90513,-0.437215,0.289532,-0.851477,-0.413,0.306,-22.7,-79.2,918.6,0.297,0.654,-0.26,0.36,0.0,0.33,0.0,0.33,0.95,0.0,1.58,0.86,0.74,0.0,0.92,0.44,1.52,0.08,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.7989999999999924
3373,0,115.102,0.88,-0.358506,0.264598,-0.895243,-0.440983,0.287014,-0.8503870000000001,-0.429,0.306,-28.4,-73.9,904.7,0.311,0.701,-0.27,0.42,0.0,0.38,0.0,0.27,0.86,0.0,1.5,0.93,0.88,0.0,1.01,0.17,1.52,0.05,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.8329999999999984
3374,0,115.136,0.88,-0.275358,0.270021,-0.922641,-0.376874,0.286683,-0.880783,-0.34700000000000003,0.299,-51.6,-61.3,906.0,0.318,0.604,-0.222,0.35,0.0,0.38,0.0,0.31,0.88,0.0,1.36,0.78,0.8,0.0,0.94,0.18,1.45,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.8669999999999902
3375,0,115.17,0.88,-0.305654,0.316158,-0.89812,-0.38005,0.332431,-0.8631639999999999,-0.371,0.353,-52.5,-54.2,859.4,0.38,0.637,-0.243,0.33,0.0,0.25,0.0,0.41,0.48,0.0,1.27,0.48,1.03,0.0,1.0,0.05,1.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.9009999999999962
3376,0,115.204,0.88,-0.353527,0.277735,-0.893242,-0.423267,0.418098,-0.803766,-0.429,0.389,-54.5,-48.1,829.6,0.428,0.69,-0.246,0.08,0.0,0.08,0.0,0.59,0.3,0.0,1.23,0.28,0.9,0.0,1.03,0.05,1.89,0.0,0.0,0.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.934999999999988
3377,0,115.238,0.88,-0.333421,0.334033,-0.881619,-0.35790900000000003,0.386035,-0.850223,-0.38,0.394,-56.7,-46.3,822.8,0.469,0.728,-0.278,0.0,0.0,0.0,0.0,0.64,0.0,0.0,1.08,0.1,0.9,0.04,1.06,0.0,2.16,0.0,0.0,0.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,2.968999999999994
3378,0,115.273,0.88,-0.368268,0.422233,-0.82831,-0.390832,0.470197,-0.7913060000000001,-0.438,0.504,-58.6,-40.4,796.6,0.514,0.767,-0.278,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.85,0.1,1.0,0.11,1.01,0.0,2.36,0.0,0.0,0.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,3.0039999999999907
3380,0,115.341,0.88,-0.345103,0.384105,-0.856369,-0.509844,0.300865,-0.80594,-0.475,0.391,-62.6,-36.2,775.1,0.5920000000000001,0.8290000000000001,-0.349,0.0,0.0,0.0,0.0,0.51,0.0,0.0,1.13,0.05,1.0,0.06,0.62,0.0,2.17,0.0,0.0,0.06,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,3.0719999999999885
3381,0,115.375,0.88,-0.363408,0.422688,-0.8302229999999999,-0.416414,0.29225300000000004,-0.860923,-0.4320000000000001,0.4,-64.6,-36.2,776.0,0.608,0.836,-0.396,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.4,0.2,1.01,0.23,0.48,0.0,2.08,0.17,0.0,0.17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,3.1059999999999945
3382,0,115.409,0.98,-0.336841,0.362872,-0.868828,-0.62231,0.339281,-0.705421,-0.547,0.42,-66.3,-37.2,778.0,0.583,0.831,-0.41,0.0,0.0,0.08,0.0,0.31,0.0,0.0,1.46,0.37,1.27,0.44,0.54,0.01,2.07,0.46,0.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,3.1400000000000006
