frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
9668,1,323.822,0.98,0.28991300000000003,0.365566,-0.884484,0.242129,0.236798,-0.940904,0.284,0.319,-67.2,-38.9,562.6,0.155,-0.411,0.428,0.56,0.4,1.06,0.0,1.02,1.39,0.0,1.76,0.84,0.72,1.21,0.78,0.0,0.0,0.79,0.0,0.45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,neutral,False, ,False,False, ,0.0
9669,1,323.855,0.98,0.287698,0.373273,-0.881985,0.236346,0.273679,-0.93233,0.281,0.343,-65.9,-39.6,557.1,0.158,-0.412,0.408,1.25,0.92,1.56,0.0,1.42,2.07,0.0,2.5,1.35,1.2,1.81,1.13,0.0,0.0,1.22,0.05,0.81,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,sad,False, ,False,False, ,0.03300000000001546
9670,1,323.889,0.98,0.28589200000000003,0.381118,-0.8792120000000001,0.235419,0.29393800000000003,-0.926379,0.281,0.358,-66.0,-39.9,560.0,0.162,-0.408,0.398,1.88,1.43,1.42,0.0,1.29,1.93,0.0,2.16,1.52,1.26,1.68,1.07,0.0,0.0,1.21,0.05,1.07,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,sad,False, ,False,False, ,0.06700000000000728
9671,1,323.922,0.98,0.28422800000000004,0.381548,-0.8795649999999999,0.232781,0.299771,-0.925176,0.279,0.361,-66.1,-39.9,561.6,0.16,-0.403,0.389,1.32,1.25,0.97,0.63,1.32,1.3,0.0,1.76,1.49,1.38,1.07,1.03,0.0,0.01,1.1,0.21,0.75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,happy,False, ,False,False, ,0.10000000000002274
9674,1,324.023,0.88,0.221602,0.153342,-0.963005,0.238526,0.058775,-0.969356,0.234,0.109,-82.1,-33.6,575.4,0.126,-0.262,0.382,0.0,0.02,0.0,2.42,1.88,1.22,0.0,3.03,2.1,2.03,0.21,1.25,0.0,0.9,0.27,0.76,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.20100000000002183
9675,1,324.056,0.88,0.240867,0.059457,-0.968735,0.237052,0.004475,-0.971487,0.242,0.033,-85.9,-33.3,595.0,0.115,-0.266,0.365,0.0,0.02,0.1,2.3,2.03,1.75,0.0,3.3,2.19,2.11,0.28,1.57,0.0,1.1,0.04,1.01,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.23399999999998045
9676,1,324.09,0.88,0.250109,-0.021979,-0.967968,0.239694,-0.044385,-0.969833,0.248,-0.034,-87.9,-32.7,605.2,0.098,-0.274,0.355,0.0,0.0,0.14,2.22,1.95,1.69,0.0,3.38,2.12,2.0,0.2,1.55,0.0,1.32,0.06,1.02,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.26799999999997226
9677,1,324.123,0.88,0.289554,-0.070087,-0.954592,0.24858,-0.074698,-0.965727,0.273,-0.075,-87.6,-32.1,601.9,0.09,-0.276,0.348,0.0,0.0,0.14,2.06,1.8,1.5,0.0,3.36,1.92,1.77,0.41,1.61,0.0,1.44,0.01,1.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.3009999999999877
9678,1,324.157,0.88,0.237366,-0.08604099999999999,-0.967602,0.219604,-0.135115,-0.966187,0.232,-0.114,-81.4,-26.6,617.2,0.051,-0.28800000000000003,0.36,0.0,0.0,0.05,2.02,1.69,1.4,0.0,3.38,1.82,1.73,0.63,1.53,0.0,1.46,0.01,1.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.33499999999997954
9679,1,324.19,0.88,0.28010100000000004,-0.072115,-0.957258,0.223645,-0.139556,-0.964628,0.256,-0.11,-81.7,-26.5,626.4,0.043,-0.284,0.369,0.0,0.0,0.14,1.83,1.65,1.57,0.0,3.49,1.67,1.7,0.91,1.45,0.0,1.42,0.02,1.14,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.367999999999995
