frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
2687,0,89.539,0.88,0.6063569999999999,0.232265,-0.760516,0.490832,0.23788800000000002,-0.838149,0.601,0.28600000000000003,-411.5,-413.0,1522.5,0.215,-0.687,0.075,0.0,0.0,0.02,0.0,0.1,0.0,0.34,0.21,0.19,0.23,0.33,0.81,0.0,0.08,0.82,0.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2688,0,89.572,0.88,0.607194,0.240157,-0.75739,0.492383,0.24487899999999999,-0.8352209999999999,0.604,0.29600000000000004,-411.3,-412.3,1520.9,0.218,-0.6920000000000001,0.091,0.0,0.0,0.01,0.0,0.01,0.0,0.18,0.0,0.0,0.02,0.25,0.38,0.0,0.0,0.45,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2689,0,89.605,0.88,0.546968,0.248419,-0.799446,0.423043,0.250687,-0.870741,0.526,0.29,-355.5,-436.4,1532.6,0.23199999999999998,-0.588,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.17,0.17,0.0,0.0,0.29,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2690,0,89.639,0.88,0.543931,0.262303,-0.79708,0.418483,0.262718,-0.869397,0.524,0.305,-355.7,-436.0,1531.4,0.237,-0.586,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2691,0,89.67200000000004,0.98,0.538668,0.269858,-0.798131,0.413749,0.268418,-0.869922,0.519,0.312,-355.8,-435.5,1529.4,0.24600000000000002,-0.5770000000000001,0.114,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2692,0,89.705,0.98,0.41843800000000003,0.287186,-0.8616459999999999,0.282648,0.27876799999999996,-0.9178229999999999,0.375,0.308,-299.6,-444.3,1526.4,0.24600000000000002,-0.395,0.14,0.0,0.0,0.26,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2693,0,89.73899999999998,0.98,0.401769,0.291475,-0.868115,0.266331,0.28271399999999997,-0.921488,0.35700000000000004,0.31,-268.9,-442.6,1516.7,0.252,-0.376,0.134,0.0,0.0,0.43,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2694,0,89.772,0.98,0.44301,0.308299,-0.8418399999999999,0.308272,0.303667,-0.9015290000000001,0.40700000000000003,0.33799999999999997,-266.1,-440.4,1509.4,0.271,-0.441,0.121,0.0,0.0,0.39,0.0,0.0,0.0,0.13,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2695,0,89.805,0.98,0.394466,0.301433,-0.868064,0.255235,0.297937,-0.919831,0.349,0.32299999999999995,-205.9,-431.5,1481.2,0.268,-0.381,0.106,0.0,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2696,0,89.839,0.98,0.39911599999999997,0.30940700000000004,-0.8631190000000001,0.259938,0.310456,-0.914357,0.355,0.336,-175.1,-428.2,1469.6,0.289,-0.392,0.063,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2697,0,89.87200000000001,0.98,0.359099,0.303656,-0.8825200000000001,0.21459499999999998,0.303458,-0.928365,0.307,0.32299999999999995,-147.4,-426.1,1460.3,0.263,-0.342,0.075,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
2698,0,89.905,0.98,0.322447,0.31348899999999996,-0.89317,0.178846,0.31246199999999996,-0.9329430000000001,0.268,0.33,-121.2,-428.2,1464.6,0.271,-0.295,0.069,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,neutral,False, ,False,False,speak,0.0
