frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
6250,0,208.27200000000002,0.98,-0.237919,0.33384899999999995,-0.912107,-0.327585,0.39259099999999997,-0.859395,-0.309,0.389,-128.3,-32.0,721.2,0.455,0.608,-0.528,1.12,0.0,0.0,0.16,0.01,0.0,0.12,0.78,0.19,0.67,0.0,0.07,0.0,0.0,0.86,0.0,0.18,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6251,0,208.305,0.98,-0.21513800000000002,0.36594499999999996,-0.905428,-0.316506,0.48111400000000004,-0.817529,-0.299,0.457,-127.3,-31.6,713.8,0.466,0.604,-0.512,1.58,0.0,0.0,0.19,0.15,0.0,0.29,1.19,0.37,1.23,0.0,0.07,0.07,0.0,1.4,0.0,0.18,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6252,0,208.338,0.98,-0.25250300000000003,0.270531,-0.929008,-0.36780300000000005,0.316801,-0.874276,-0.331,0.315,-84.3,-52.1,741.4,0.312,0.598,-0.39799999999999996,1.42,0.0,0.19,0.08,0.25,0.0,0.63,1.28,0.52,1.61,0.0,0.0,0.15,0.0,1.49,0.0,0.14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6253,0,208.372,0.98,-0.254458,0.299921,-0.919401,-0.376242,0.33781100000000003,-0.862743,-0.34,0.344,-83.6,-52.1,734.3,0.341,0.583,-0.349,1.23,0.0,0.38,0.03,0.3,0.0,0.92,1.41,0.72,1.7,0.0,0.0,0.2,0.04,1.53,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6254,0,208.405,0.98,-0.248299,0.30540100000000003,-0.9192809999999999,-0.371796,0.34283,-0.862691,-0.335,0.349,-84.1,-52.5,736.3,0.349,0.568,-0.324,1.01,0.0,0.47,0.0,0.23,0.0,1.03,1.48,1.0,1.56,0.0,0.0,0.13,0.1,1.48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6255,0,208.438,0.98,-0.29376599999999997,0.279204,-0.914192,-0.41068999999999994,0.30189,-0.860347,-0.37799999999999995,0.316,-45.7,-70.6,769.9,0.28300000000000003,0.61,-0.17800000000000002,0.72,0.0,0.43,0.0,0.2,0.0,1.01,1.38,1.18,1.39,0.0,0.0,0.05,0.18,1.48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6256,0,208.472,0.98,-0.30838699999999997,0.281405,-0.9086850000000001,-0.422597,0.305705,-0.853203,-0.39299999999999996,0.322,-45.8,-69.4,763.6,0.276,0.623,-0.172,0.52,0.0,0.42,0.0,0.23,0.0,0.93,1.29,1.35,1.33,0.0,0.0,0.0,0.25,1.45,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6257,0,208.505,0.98,-0.313051,0.275665,-0.90885,-0.426938,0.30083899999999997,-0.852772,-0.39799999999999996,0.316,-45.9,-69.1,761.4,0.272,0.627,-0.171,0.45,0.0,0.33,0.0,0.16,0.0,0.87,1.1,1.23,1.15,0.0,0.0,0.0,0.19,1.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6258,0,208.53799999999998,0.98,-0.351792,0.26777399999999996,-0.896961,-0.474897,0.277348,-0.835195,-0.445,0.305,-9.3,-79.2,780.5,0.261,0.662,-0.11699999999999999,0.46,0.0,0.18,0.0,0.08,0.0,0.85,1.06,1.17,0.93,0.0,0.0,0.0,0.11,1.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6259,0,208.572,0.98,-0.36846,0.261524,-0.8921,-0.489454,0.272303,-0.8284239999999999,-0.46299999999999997,0.301,-9.1,-78.4,775.2,0.248,0.679,-0.11699999999999999,0.45,0.0,0.0,0.0,0.0,0.0,0.91,0.82,0.95,0.47,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6260,0,208.605,0.98,-0.402545,0.22471100000000002,-0.887391,-0.521256,0.23115500000000003,-0.821498,-0.496,0.261,17.5,-86.4,783.4,0.174,0.7070000000000001,-0.052000000000000005,0.53,0.0,0.01,0.0,0.0,0.0,1.09,0.72,0.82,0.22,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6261,0,208.638,0.98,-0.41601000000000005,0.24064899999999997,-0.8769399999999999,-0.535805,0.244621,-0.80813,-0.514,0.28,17.7,-86.9,786.0,0.18899999999999997,0.721,-0.048,0.54,0.0,0.01,0.0,0.0,0.0,1.2,0.58,0.68,0.0,0.0,0.0,0.0,0.04,1.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
