frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
5534,0,184.4,0.88,-0.430921,0.11610899999999999,-0.8948889999999999,-0.565628,0.14203,-0.812338,-0.528,0.15,891.4,55.0,1539.1,0.153,0.56,-0.217,0.0,0.05,1.98,1.43,0.0,0.0,0.21,1.22,1.94,0.98,0.03,1.22,0.0,0.26,1.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
5535,0,184.433,0.88,-0.532146,0.132717,-0.8361860000000001,-0.6411399999999999,0.157575,-0.7510720000000001,-0.637,0.18100000000000002,874.0,10.4,1584.5,0.21899999999999997,0.726,-0.33,0.0,0.05,1.78,1.35,0.0,0.0,0.11,1.14,1.82,0.95,0.24,1.84,0.0,0.61,1.37,0.14,0.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
5536,0,184.467,0.98,-0.482096,0.154008,-0.862476,-0.601304,0.176523,-0.779277,-0.583,0.19899999999999998,841.6,-14.1,1571.7,0.228,0.648,-0.293,0.0,0.05,1.52,1.3,0.01,0.0,0.0,1.1,1.64,1.14,0.54,2.25,0.02,0.95,0.77,0.26,0.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
5537,0,184.5,0.88,-0.49949799999999994,0.181943,-0.846994,-0.617153,0.20630500000000002,-0.759316,-0.607,0.237,860.7,-15.4,1604.1,0.276,0.685,-0.355,0.0,0.24,1.12,1.43,0.01,0.35,0.55,0.65,1.23,0.75,0.51,1.69,0.02,0.69,1.5,0.59,0.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
5543,0,184.7,0.88,-0.398077,0.324379,-0.858087,-0.52883,0.3285,-0.7825770000000001,-0.514,0.379,691.7,-156.5,1508.8,0.447,0.55,-0.33899999999999997,0.0,0.2,1.69,2.06,0.66,0.07,0.0,0.31,1.53,1.03,0.66,1.07,0.0,0.61,0.58,0.56,0.58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
5544,0,184.733,0.88,-0.394742,0.32971,-0.8575950000000001,-0.524606,0.335518,-0.782443,-0.511,0.385,690.4,-156.2,1505.0,0.455,0.545,-0.35200000000000004,0.0,0.25,1.56,2.01,0.71,0.04,0.0,0.33,1.55,1.09,0.55,1.02,0.0,0.57,0.68,0.65,0.63,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,1,0,False, ,False,False,speak,0.0
5545,0,184.767,0.88,-0.389723,0.334061,-0.8582069999999999,-0.519367,0.341105,-0.783521,-0.506,0.39,689.5,-156.1,1502.3,0.462,0.5379999999999999,-0.361,0.0,0.14,1.04,2.1,0.63,0.0,0.17,0.24,1.18,0.74,0.33,0.86,0.0,0.37,1.15,1.19,0.44,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
5739,0,191.232,0.93,0.389059,0.302525,-0.870122,0.32963400000000004,0.216243,-0.91901,0.382,0.282,193.9,-198.3,871.6,0.256,-0.721,0.604,0.15,0.0,0.13,0.23,0.11,1.33,1.76,0.11,0.1,0.0,0.48,0.56,0.0,0.15,1.91,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disgust,0,0,False, ,False,False,speak,5.9650000000000025
5741,0,191.299,0.93,0.319812,0.42321400000000003,-0.847709,0.20912199999999997,0.386654,-0.8982020000000001,0.294,0.434,194.9,-230.0,984.9,0.42700000000000005,-0.489,0.265,0.0,0.0,0.45,0.32,0.03,1.13,0.56,1.26,0.0,1.1,1.73,0.76,0.17,0.07,0.51,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disgust,0,0,False, ,False,False,speak,6.032000000000012
5742,0,191.332,0.88,0.295682,0.44649799999999995,-0.844519,0.188223,0.402791,-0.8957290000000001,0.271,0.45399999999999996,191.5,-231.8,997.9,0.46299999999999997,-0.436,0.265,0.0,0.0,0.47,0.09,0.01,0.62,0.0,1.58,0.0,1.88,1.86,0.36,0.21,0.0,0.2,0.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False,speak,6.064999999999998
