frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
8342,1,277.991,0.88,0.65303,0.266139,-0.709029,0.590182,0.18091600000000002,-0.786736,0.693,0.29,-57.3,-290.4,1272.4,0.276,-0.981,0.8320000000000001,0.94,0.02,0.0,0.8,0.34,1.64,0.09,0.15,0.32,0.0,1.35,2.15,0.0,0.8,0.0,0.34,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8343,1,278.024,0.98,0.637476,0.31658800000000004,-0.702422,0.584896,0.226278,-0.778906,0.69,0.35100000000000003,-59.5,-306.1,1340.2,0.3720000000000001,-0.978,0.93,1.2,0.23,0.0,0.58,0.35,1.71,0.18,0.17,0.25,0.0,1.64,2.17,0.0,0.29,0.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8344,1,278.058,0.98,0.630741,0.343647,-0.695753,0.584982,0.2499510000000001,-0.77157,0.6920000000000001,0.384,-61.0,-316.1,1381.3,0.4320000000000001,-0.973,0.992,1.19,0.23,0.0,0.26,0.34,1.94,0.28,0.28,0.27,0.0,1.14,1.67,0.0,0.09,0.0,0.24,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8345,1,278.091,0.88,0.623847,0.35131,-0.698137,0.595474,0.261056,-0.759776,0.6970000000000001,0.39799999999999996,-53.2,-312.8,1368.9,0.43799999999999994,-1.02,1.047,1.25,0.21,0.0,0.1,0.33,1.75,0.46,0.2,0.2,0.0,0.78,1.52,0.0,0.09,0.01,0.06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8346,1,278.124,0.98,0.621273,0.360141,-0.69593,0.587852,0.262104,-0.7653310000000001,0.691,0.40299999999999997,-51.3,-318.1,1393.0,0.452,-0.991,1.0759999999999998,1.27,0.07,0.0,0.0,0.27,1.56,0.68,0.15,0.12,0.0,0.37,1.49,0.0,0.09,0.1,0.16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8347,1,278.158,0.98,0.626499,0.357222,-0.692742,0.5878369999999999,0.253637,-0.768191,0.693,0.396,-50.6,-321.3,1405.9,0.446,-0.973,1.071,1.15,0.37,0.11,0.53,0.48,0.87,0.58,0.41,0.34,0.0,0.71,1.73,0.0,0.33,0.74,0.49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8368,1,278.858,0.98,0.46281700000000003,0.294745,-0.836018,0.332469,0.273861,-0.9024770000000001,0.429,0.316,214.5,-299.2,1425.9,0.294,-0.688,0.26,0.72,0.0,0.06,0.0,1.1,0.44,0.0,0.93,0.0,0.0,1.67,1.55,0.14,1.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
8369,1,278.89099999999996,0.98,0.46263000000000004,0.310857,-0.830266,0.32924000000000003,0.289069,-0.898911,0.429,0.33399999999999996,216.5,-302.2,1438.1,0.317,-0.669,0.272,1.1,0.0,0.1,0.0,1.68,0.6,0.0,1.45,0.0,0.0,2.59,2.24,0.16,1.56,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,disgust,False, ,False,False,speak,0.0
8370,1,278.92400000000004,0.98,0.45804399999999995,0.314052,-0.8316049999999999,0.324042,0.291352,-0.9000610000000001,0.424,0.336,217.9,-304.1,1446.6,0.32,-0.6559999999999999,0.272,1.05,0.0,0.15,0.0,1.72,0.51,0.0,1.49,0.0,0.0,2.54,2.1,0.12,1.37,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,disgust,False, ,False,False,speak,0.0
8371,1,278.95799999999997,0.98,0.452755,0.31622,-0.833677,0.32012399999999996,0.29331599999999997,-0.900825,0.419,0.33799999999999997,218.7,-305.0,1450.7,0.321,-0.648,0.27,1.04,0.0,0.09,0.0,1.73,0.87,0.0,1.42,0.17,0.0,2.05,1.8,0.02,1.32,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,sad,False, ,False,False,speak,0.0
